Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2024-05-11,Four Days in September,1997,https://boxd.it/6rNKzZ,2.5,,"nhe, gostei do pedro cardozo, mas achei os diálogos mt bobinhos pro ambiente de guerrilha comparado a baralha dos algieres",,2024-05-10
2024-12-15,Juror #2,2024,https://boxd.it/83bRlT,5,,"oloco mano que historia, justiça e moral no centro da narrativa",,2024-12-14
2025-05-03,Presence,2024,https://boxd.it/9AdnYb,1,,pareceu um ep do this is us,,2025-05-02
