Date,Name,Year,Letterboxd URI,Rating
2024-06-15,Miserere Nobis,1983,https://boxd.it/DFue,5
2024-06-15,Closes,1982,https://boxd.it/C2ta,5
2024-06-15,Perequeté,1981,https://boxd.it/DIye,5
2024-06-15,Red Was the Color of Their Lips,1983,https://boxd.it/umN4,5
2024-06-16,Baltazar da Lomba,1982,https://boxd.it/pXu4,4
2024-06-17,The Face of Another,1966,https://boxd.it/1nso,4
2024-06-21,The Asphalt Kiss,2018,https://boxd.it/hkyg,4
2024-06-30,Across the Universe,2007,https://boxd.it/23X4,2
2024-07-01,Butterfly,1999,https://boxd.it/1k2s,4
2024-07-02,Movie Dementia,1986,https://boxd.it/5bH0,5
2024-07-02,Fake Blonde,2007,https://boxd.it/5eHM,5
2024-07-02,Mean Girls,2004,https://boxd.it/1VNg,5
2024-07-14,The Vanishing,1988,https://boxd.it/1ZTW,5
2024-07-14,Ninotchka,1939,https://boxd.it/2802,3.5
2024-07-14,The Hidden Tiger,2016,https://boxd.it/7Fbs,4
2024-07-15,The Glass House,2001,https://boxd.it/27gS,1.5
2024-07-15,Creepy,2016,https://boxd.it/dfd0,4
2024-07-16,The Pastor and the Revolutionary,2022,https://boxd.it/BI66,2.5
2024-07-22,History of the Occult,2020,https://boxd.it/o7Ho,3
2024-07-29,Men,2022,https://boxd.it/tlc0,1
2024-08-05,Afire,2023,https://boxd.it/y06K,4
2024-08-12,The Hateful Eight,2015,https://boxd.it/8gw8,4
2024-08-18,MaXXXine,2024,https://boxd.it/CIM4,2
2024-08-19,The Discreet Charm of the Bourgeoisie,1972,https://boxd.it/2440,4
2024-08-20,Dog Day Afternoon,1975,https://boxd.it/29bg,5
2024-08-20,Drive,2011,https://boxd.it/IG,4
2024-08-21,John Wick: Chapter 2,2017,https://boxd.it/ayGu,4
2024-08-21,12 Angry Men,1957,https://boxd.it/2auI,5
2024-08-23,John Wick,2014,https://boxd.it/7dEc,3.5
2024-08-23,The Verdict,1982,https://boxd.it/1y3Y,4
2024-08-24,¡Las Sandinistas!,2018,https://boxd.it/i82u,5
2024-08-25,Possession,1981,https://boxd.it/1BPm,4.5
2024-08-25,Ghost Dog: The Way of the Samurai,1999,https://boxd.it/23Ne,4
2024-08-26,The Texas Chain Saw Massacre,1974,https://boxd.it/1lcS,4
2024-08-26,Opening Night,1977,https://boxd.it/1f4e,5
2024-08-27,Longlegs,2024,https://boxd.it/KzLM,2
2024-08-28,Scarface,1983,https://boxd.it/2b7g,3.5
2024-08-29,RoboCop,1987,https://boxd.it/22Wu,4
2024-08-30,Motel Destino,2024,https://boxd.it/HXMo,4
2024-09-02,Network,1976,https://boxd.it/1VqG,4
2024-09-03,District 9,2009,https://boxd.it/1Iik,0.5
2024-09-03,Trap,2024,https://boxd.it/D4nK,2.5
2024-09-05,The Last Metro,1980,https://boxd.it/28fc,3
2024-09-08,The Tenant,1976,https://boxd.it/1TKk,5
2024-09-09,Chinatown,1974,https://boxd.it/29vU,4.5
2024-09-13,Shutter,2004,https://boxd.it/1JbY,3.5
2024-09-14,Limite,1931,https://boxd.it/20iW,5
2024-09-15,The Meg,2018,https://boxd.it/bAL4,2
2024-09-16,See No Evil,1971,https://boxd.it/133S,3.5
2024-09-17,The Beyond,1981,https://boxd.it/1FtY,4
2024-09-18,Rebel Ridge,2024,https://boxd.it/nZum,4
2024-09-19,Blood and Black Lace,1964,https://boxd.it/1qme,4
2024-09-20,Death Proof,2007,https://boxd.it/27GG,5
2024-09-24,Heat,1995,https://boxd.it/2bg8,5
2024-09-24,"Salò, or the 120 Days of Sodom",1975,https://boxd.it/237s,5
2024-09-30,Halloween,1978,https://boxd.it/2wRu,3
2024-10-01,Blink Twice,2024,https://boxd.it/vIOg,2.5
2024-10-02,The Exterminating Angel,1962,https://boxd.it/1nRS,5
2024-10-05,A Woman Under the Influence,1974,https://boxd.it/1myg,5
2024-10-07,Cruising,1980,https://boxd.it/1qzW,4.5
2024-10-07,Scanners,1981,https://boxd.it/1YqE,5
2024-10-07,Sorcerer,1977,https://boxd.it/14J6,5
